Shop_Name,Cuisine,Location,Rating,Cost_for_Two
Mandya Gowdru Donne Biryani,Biryani,"HSR, HSR",--,₹ 350
Khichdi Experiment,"Home Food, Healthy Food, Indian","Koramangala, Koramangala",4.8,₹ 200
Corner House Ice Cream,"Ice Cream, Desserts","7th Block, Koramangala",4.6,₹ 250
Natural Ice Cream,Ice Cream,"Near Wipro Park Signal, Koramangala",4.6,₹ 150
Chinese Bae,"Chinese, Thai","BTM, BTM",4.5,₹ 450
Al Daaz,"American, Arabian, Chinese, Desserts, Fast Food, Mughlai, North Indian","HSR, HSR",4.4,₹ 400
Bowl 99,"North Indian, South Indian","kormangala, Koramangala",4.4,₹ 200
China Pearl,"Chinese, Asian","6th Block, Koramangala",4.4,₹ 527
Mumbai Tiffin,"North Indian, Home Food, Thalis, Combo","Sector 5, HSR",4.4,₹ 400
Biryani Khazana,Biryani,"Koramangala, Koramangala",4.3,₹ 400
Cakewala,Desserts,"HSR, HSR",4.3,₹ 450
CRAVY WINGS - The American Diner,"American, Fast Food","Bannerghatta Road, Jayanagar",4.3,₹ 300
Cream Stone,Desserts,"5th Block, Koramangala",4.3,₹ 250
Just Bake - Cakes & confectioners,"Desserts, Bakery","BTM 1st stage, BTM",4.3,₹ 300
Kanti Sweets,Sweets,"Koramangala, Koramangala",4.3,₹ 150
KFC,"American, Fast Food","Intermediate Ring Road, Koramangala",4.3,₹ 400
Khawa Karpo,Chinese,"Koramangala, Koramangala",4.3,₹ 178
Leon Grill - HSR,"Turkish, Portuguese, American","3rd Sector, HSR",4.3,₹ 300
Leon Grill - Koramangala,"Turkish, Portuguese, American, Grill","5th Block, Koramangala",4.3,₹ 300
Meghana Foods,"Chinese, Andhra, Biryani, Seafood","5th Block, Koramangala",4.3,₹ 550
Momoz,Chinese,"5th Block, Koramangala",4.3,₹ 450
Nagarjuna,"Andhra, South Indian","KHB Colony, Koramangala",4.3,₹ 600
New Udupi Grand,"Chinese, Jain, North Indian, South Indian","HSR, HSR",4.3,₹ 150
Oottupura,"Kerala, South Indian","BTM, BTM",4.3,₹ 268
Purani Dilli By Anand Sweets,"North Indian, Chaat, Snacks, Fast Food","5th Block, Koramangala",4.3,₹ 400
Sagar fast food,"Chinese, South Indian, North Indian, Fast Food","8TH BLOCK, Koramangala",4.3,₹ 200
Taco Bell,Mexican,"6th Block, Koramangala",4.3,₹ 600
Thali 99,North Indian,"Koramangala, Koramangala",4.3,₹ 200
The Bowl Company,"Continental, Indian, Pan-Asian, Oriental","Jakkasandra Village, Koramangala",4.3,₹ 350
Truffles,American,"5th Block, Koramangala",4.3,₹ 450
Venu's Donne Biryani,Biryani,"Chocolate Factory Road, BTM",4.3,₹ 300
XO Belgian Waffle,Desserts,"Koramangala, Koramangala",4.3,₹ 250
A2B - Adyar Ananda Bhavan,"South Indian, Chinese, Desserts, North Indian","7th Block, Koramangala",4.2,₹ 450
Bengali Fun Foods,North Indian,"BTM 2nd stage, BTM",4.2,₹ 300
BIRIYANI TASTE MASTH(BTM),"North Indian, South Indian","Btm, BTM",4.2,₹ 300
Falahaar & Kota Kachori,North Indian,"6th block, Koramangala",4.2,₹ 300
Ghar Ka Khana,North Indian,"BTM, BTM",4.2,₹ 220
Kitchens of Punjab,North Indian,"Koramangala 4th  Block, Koramangala",4.2,₹ 350
Mani's Dum Biryani,"Andhra, Biryani","1st Block, Koramangala",4.2,₹ 400
NIC Natural Ice Creams,"Ice Cream, Desserts","Koramangla, Koramangala",4.2,₹ 120
Royal Treat,"North Indian, Chinese, Seafood, Biryani","5th block Koramangala, Koramangala",4.2,₹ 193
Tandoori Merchant,"Andhra, Biryani, Chinese, Desserts, Fast Food, Seafood, South Indian","4th Cross, BTM",4.2,₹ 100
99 VARIETY DOSA AND JUICE-Malli mane food court,"Fast Food, Juices, North Indian","Koramangala 1st block, Koramangala",4.1,₹ 100
99 VARIETY DOSA AND PAV BHAJI- Malli Mane Food Court,"Fast Food, North Indian, Chinese","BTM 2nd Stage, BTM",4.1,₹ 200
Ambur Star Briyani,"Chinese, South Indian, North Indian, Desserts, Fast Food, Kerala, Andhra, Beverages, Mughlai, Seafood","outer ring road, BTM",4.1,₹ 500
Balaji's Veg,"North Indian, Chinese, South Indian","Mico Layout, BTM",4.1,₹ 300
Bathinda Junction,North Indian,"5th Block, Koramangala",4.1,₹ 250
Beijing Bites,"Chinese, Thai","5th Block, Koramangala",4.1,₹ 450
Biriyani Bhatti,"Biryani, Hyderabadi, Andhra, North Indian, South Indian","Kuvempu Nagar, Stage 2, BTM",4.1,₹ 350
Biriyani Zone,"North Indian, Chinese, Biryani","HSR 1st sector, HSR",4.1,₹ 600
BIRYANI CRAFTS,Indian,"BTM, BTM",4.1,₹ 500
Biryanis and more,"Biryani, South Indian, North Indian, Fast Food, Andhra, Beverages, Mughlai, Seafood, Punjabi, Hyderabadi, Chinese","4th b cross, Koramangala",4.1,₹ 399
calicut cafe restaurant,"Fast Food, Beverages","BTM, BTM",4.1,₹ 280
Delhi Food Point,North Indian,"1st Block, Koramangala",4.1,₹ 132
Dindigul Thalapakatti Biriyani,North Indian,"HSR, HSR",4.1,₹ 650
Donne Biryani House - Koramangala,Biryani,"7th Block, Koramangala",4.1,₹ 130
High N Hungry,"Andhra, Biryani, Chinese, Desserts, Fast Food, Seafood, South Indian","4th Cross, BTM",4.1,₹ 350
Hotel Manu,"South Indian, Kerala, Chinese, North Indian","HSR, HSR",4.1,₹ 350
Kitchens of China,Chinese,"Koramangala, Koramangala",4.1,₹ 350
Madeena Hotel,"Desserts, Mughlai, Seafood","5th Block Kormangala, Koramangala",4.1,₹ 500
Pipabu,"Pizzas, Chinese, Pastas, Salads, American, Continental","4th Block, Koramangala",4.1,₹ 257
Rice Bowl,"North Indian, South Indian, Chinese","6th Block, Koramangala",4.1,₹ 250
Rolls On Wheels,Fast Food,"1st Block, Koramangala",4.1,₹ 300
Savoury Restaurant,"Arabian, Middle Eastern, North Indian, Grill, Seafood, Kerala, Chinese","Madiwala, BTM",4.1,₹ 600
Sharmas punjabi restaurant,North Indian,"1st Block, Koramangala",4.1,₹ 200
Shawarma Inc,"Arabian, Fast Food","1st MAin, Koramangala",4.1,₹ 150
Shree Khana Khazana,"Indian, Rajasthani","Sector 4, HSR",4.1,₹ 350
Sri Krishna sagar,"South Indian, North Indian, Fast Food, Beverages, Jain","6th Block, Koramangala",4.1,₹ 126
Svadu Pure Ghee Sweets,"Desserts, Fast Food, Sweets, Chaat","1st Stage, BTM",4.1,₹ 200
Swad Punjab da,Indian,"BTM, BTM",4.1,₹ 250
Swadista Aahar,"South Indian, Snacks, North Indian, Chinese","16th Main Road, 2nd Stage, BTM",4.1,₹ 250
WarmOven Cake & Desserts,"Desserts, Beverages","Koramangala, Koramangala",4.1,₹ 200
Abhiruchi Hotel,"Chinese, Hyderabadi, Biryani, Indian, South Indian, Andhra, Tandoor","BTM, BTM",4,₹ 250
Biryani Pot,"North Indian, Biryani","Madiwala Junction, BTM",4,₹ 500
Cake Box,Desserts,"Koramangala, Koramangala",4,₹ 247
Donne Biriyani House - HSR,South Indian,"3rd sector, HSR",4,₹ 300
Donne Biryani Mandi,"Biryani, Andhra, South Indian","BTM, BTM",4,₹ 150
Gyaani Da Punjabi Dhaba,North Indian,"2nd Stage, BTM",4,₹ 500
Hotel Godavari,"North Indian, Chinese, Hyderabadi","Marutinagar Main Road, BTM",4,₹ 400
Hotel Savitha Family Restaurant,"North Indian, South Indian","4th block, Koramangala",4,₹ 153
Hyderabad Biryaani House,"Biryani, Mughlai, South Indian","1st Cross Road, 5th Block, Near Jyothi Nivas College, Koramangala",4,₹ 350
Junior Kuppanna,"Chettinad, South Indian","Sector 6, HSR",4,₹ 550
Just Shawarma,Fast Food,"5th block, Koramangala",4,₹ 250
KANNOOR RESTAURANT,"North Indian, Chinese","BTM, BTM",4,₹ 250
Maa Di Hatti,"Chinese, Healthy Food, North Indian","Jakkasandra Extn, Koramangala",4,₹ 129
Madurai Idly Shop,South Indian,"6th Block, Koramangala",4,₹ 150
Nanda's,"Andhra, Biryani","HSR, HSR",4,₹ 400
Nandhana Palace,"Biryani, Seafood, North Indian, Chinese, Desserts, Andhra, South Indian","Koramangala, Koramangala",4,₹ 500
New Tasty Cafeteria,"Andhra, Chettinad, Chinese, Mughlai, North Indian","Maruthi Nagar, BTM",4,₹ 350
Paradise Biryani,"Biryani, Kebabs","Koramangala 6th block, Koramangala",4,₹ 300
Pizza Hut,"Pizzas, Fast Food","Hosur Main Road, Koramangala",4,₹ 600
Punjabi Rasoi,North Indian,"Sector 3, HSR",4,₹ 800
World of asia,"Beverages, Chinese","BTM, BTM",4,₹ 250
Burger King,"American, Fast Food","7th Block, Koramangala",3.9,₹ 350
Cake Garden,"Desserts, Bakery","HSR, HSR",3.9,₹ 250
Easy Bites - Koramangala,"Snacks, American","koramangala, Koramangala",3.9,₹ 200
